,match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_player1,team2_player1,team1_player2,team2_player2,team1_player3,team2_player3,team1_player4,team2_player4,team1_player5,team2_player5,team1_player6,team2_player6,team1_player7,team2_player7,team1_player8,team2_player8,team1_player9,team2_player9,team1_player10,team2_player10,team1_player11,team2_player11
213,3601,2015-02-15,Seddon Park,Hamilton,South Africa,Zimbabwe,1,field,0,Q de Kock,CJ Chibhabha,HM Amla,Sikandar Raza,F du Plessis,H Masakadza,AB de Villiers,BRM Taylor,DA Miller,SC Williams,JP Duminy,CR Ervine,F Behardien,E Chigumbura,VD Philander,SF Mire,DW Steyn,T Panyangara,Imran Tahir,TL Chatara,M Morkel,T Kamungozi
214,3603,2015-02-16,Saxton Oval,Nelson,Ireland,West Indies,0,field,0,WTS Porterfield,DR Smith,PR Stirling,CH Gayle,EC Joyce,DM Bravo,NJ O'Brien,MN Samuels,A Balbirnie,D Ramdin,GC Wilson,LMP Simmons,KJ O'Brien,DJG Sammy,JF Mooney,AD Russell,MC Sorensen,JO Holder,GH Dockrell,KAJ Roach,AR McBrine,JE Taylor
215,3604,2015-02-17,University Oval,Dunedin,New Zealand,Scotland,0,field,0,MJ Guptill,KJ Coetzer,BB McCullum,CS MacLeod,KS Williamson,HJW Gardiner,LRPL Taylor,MW Machan,GD Elliott,PL Mommsen,CJ Anderson,RD Berrington,L Ronchi,MH Cross,DL Vettori,JH Davey,AF Milne,RML Taylor,TG Southee,RM Haq,TA Boult,I Wardlaw
216,3606,2015-02-19,Saxton Oval,Nelson,United Arab Emirates,Zimbabwe,1,field,1,Amjad Ali,Sikandar Raza,AR Berenger,RW Chakabva,Krishna Chandran,H Masakadza,Khurram Khan,BRM Taylor,SP Patil,SC Williams,Shaiman Anwar,SF Mire,Rohan Mustafa,CR Ervine,Amjad Javed,E Chigumbura,Mohammad Naveed,T Panyangara,Mohammad Tauqir,TL Chatara,Nasir Aziz,T Kamungozi
217,3607,2015-02-20,Westpac Stadium,Wellington,New Zealand,England,1,bat,0,MJ Guptill,IR Bell,BB McCullum,MM Ali,KS Williamson,GS Ballance,LRPL Taylor,JE Root,GD Elliott,EJG Morgan,CJ Anderson,JWA Taylor,L Ronchi,JC Buttler,DL Vettori,CR Woakes,AF Milne,SCJ Broad,TG Southee,ST Finn,TA Boult,JM Anderson
218,3608,2015-02-21,Hagley Oval,Christchurch,Pakistan,West Indies,0,field,1,Nasir Jamshed,DR Smith,Ahmed Shehzad,CH Gayle,Younis Khan,DM Bravo,Haris Sohail,MN Samuels,Misbah-ul-Haq,D Ramdin,Sohaib Maqsood,LMP Simmons,Umar Akmal,DJG Sammy,Shahid Afridi,AD Russell,Wahab Riaz,JO Holder,Sohail Khan,JE Taylor,Mohammad Irfan,SJ Benn
219,3611,2015-02-23,Hagley Oval,Christchurch,England,Scotland,1,field,0,MM Ali,KJ Coetzer,IR Bell,CS MacLeod,GS Ballance,FRJ Coleman,JE Root,MW Machan,EJG Morgan,PL Mommsen,JWA Taylor,RD Berrington,JC Buttler,MH Cross,CR Woakes,JH Davey,SCJ Broad,RM Haq,ST Finn,AC Evans,JM Anderson,I Wardlaw
220,3612,2015-02-24,Manuka Oval,Canberra,West Indies,Zimbabwe,0,bat,0,DR Smith,Sikandar Raza,CH Gayle,RW Chakabva,MN Samuels,H Masakadza,JL Carter,BRM Taylor,D Ramdin,SC Williams,LMP Simmons,CR Ervine,DJG Sammy,S Matsikenyeri,AD Russell,E Chigumbura,JO Holder,T Panyangara,JE Taylor,TL Chatara,NO Miller,T Kamungozi
221,3613,2015-02-25,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Ireland,United Arab Emirates,0,field,0,WTS Porterfield,Amjad Ali,PR Stirling,AR Berenger,EC Joyce,Krishna Chandran,NJ O'Brien,Khurram Khan,A Balbirnie,SP Patil,GC Wilson,Shaiman Anwar,KJ O'Brien,Rohan Mustafa,JF Mooney,Amjad Javed,AR Cusack,Mohammad Naveed,GH Dockrell,Mohammad Tauqir,MC Sorensen,AM Guruge
222,3617,2015-02-28,Eden Park,Auckland,New Zealand,Australia,1,bat,0,MJ Guptill,AJ Finch,BB McCullum,DA Warner,KS Williamson,SR Watson,LRPL Taylor,MJ Clarke,GD Elliott,SPD Smith,CJ Anderson,GJ Maxwell,L Ronchi,MR Marsh,DL Vettori,BJ Haddin,AF Milne,MG Johnson,TG Southee,MA Starc,TA Boult,PJ Cummins
223,3618,2015-02-28,Western Australia Cricket Association Ground,Perth,India,United Arab Emirates,1,bat,0,RG Sharma,Amjad Ali,S Dhawan,AR Berenger,V Kohli,Krishna Chandran,AM Rahane,Khurram Khan,SK Raina,SP Patil,MS Dhoni,Shaiman Anwar,RA Jadeja,Rohan Mustafa,R Ashwin,Amjad Javed,B Kumar,Mohammad Naveed,UT Yadav,Mohammad Tauqir,MM Sharma,AM Guruge
