match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,tournament_year,toss_winner_team,winning_team,losing_team,toss_match_winner_same,tournament_edition,host_nation,match_number_in_tournament
4678,2023-10-22,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,New Zealand,India,1,field,1,2023,India,India,New Zealand,True,2023 India,India,17
4680,2023-10-24,"Wankhede Stadium, Mumbai",Mumbai,South Africa,Bangladesh,0,bat,0,2023,South Africa,South Africa,Bangladesh,True,2023 India,India,18
4681,2023-10-25,"Arun Jaitley Stadium, Delhi",Delhi,Australia,Netherlands,0,bat,0,2023,Australia,Australia,Netherlands,True,2023 India,India,19
4682,2023-10-26,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,England,Sri Lanka,0,bat,1,2023,England,Sri Lanka,England,False,2023 India,India,20
4683,2023-10-27,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Pakistan,South Africa,0,bat,1,2023,Pakistan,South Africa,Pakistan,False,2023 India,India,21
4684,2023-10-28,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Australia,New Zealand,1,field,0,2023,New Zealand,Australia,New Zealand,False,2023 India,India,22
4685,2023-10-28,"Eden Gardens, Kolkata",Kolkata,Netherlands,Bangladesh,0,bat,0,2023,Netherlands,Netherlands,Bangladesh,True,2023 India,India,23
4686,2023-10-29,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,England,1,field,0,2023,England,India,England,False,2023 India,India,24
4688,2023-10-31,"Eden Gardens, Kolkata",Kolkata,Bangladesh,Pakistan,0,bat,1,2023,Bangladesh,Pakistan,Bangladesh,False,2023 India,India,25
4689,2023-11-01,"Maharashtra Cricket Association Stadium, Pune",Pune,South Africa,New Zealand,1,field,0,2023,New Zealand,South Africa,New Zealand,False,2023 India,India,26
4690,2023-11-02,"Wankhede Stadium, Mumbai",Mumbai,India,Sri Lanka,1,field,0,2023,Sri Lanka,India,Sri Lanka,False,2023 India,India,27
4692,2023-11-04,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,New Zealand,Pakistan,1,field,1,2023,Pakistan,Pakistan,New Zealand,True,2023 India,India,28
4693,2023-11-04,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Australia,England,1,field,0,2023,England,Australia,England,False,2023 India,India,29
4694,2023-11-05,"Eden Gardens, Kolkata",Kolkata,India,South Africa,0,bat,0,2023,India,India,South Africa,True,2023 India,India,30
4695,2023-11-06,"Arun Jaitley Stadium, Delhi",Delhi,Sri Lanka,Bangladesh,1,field,1,2023,Bangladesh,Bangladesh,Sri Lanka,True,2023 India,India,31
4697,2023-11-08,"Maharashtra Cricket Association Stadium, Pune",Pune,England,Netherlands,0,bat,0,2023,England,England,Netherlands,True,2023 India,India,32
4698,2023-11-09,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Sri Lanka,New Zealand,1,field,1,2023,New Zealand,New Zealand,Sri Lanka,True,2023 India,India,33
4700,2023-11-11,"Maharashtra Cricket Association Stadium, Pune",Pune,Bangladesh,Australia,1,field,1,2023,Australia,Australia,Bangladesh,True,2023 India,India,34
4701,2023-11-11,"Eden Gardens, Kolkata",Kolkata,England,Pakistan,0,bat,0,2023,England,England,Pakistan,True,2023 India,India,35
4702,2023-11-12,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India,Netherlands,0,bat,0,2023,India,India,Netherlands,True,2023 India,India,36
4703,2023-11-15,"Wankhede Stadium, Mumbai",Mumbai,India,New Zealand,0,bat,0,2023,India,India,New Zealand,True,2023 India,India,37
4704,2023-11-16,"Eden Gardens, Kolkata",Kolkata,South Africa,Australia,0,bat,1,2023,South Africa,Australia,South Africa,False,2023 India,India,38
4705,2023-11-19,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,Australia,1,field,1,2023,Australia,Australia,India,True,2023 India,India,39
